"","filename","ATTRIBUTE_Sample_Type","ATTRIBUTE_Month_Collected","ATTRIBUTE_Day_Collected","ATTRIBUTE_Year_Collected","ATTRIBUTE_Technical_Replicate","ATTRIBUTE_Volume_Extracted","ATTRIBUTE_Injection_Order","ATTRIBUTE_Notes"
"1","A1.mzML","SMRW","Mar","30","2022",1,"1_L",17,"No_leak"
"2","A2.mzML","SMRW","Mar","30","2022",1,"1_L",18,"No_leak"
"3","A3.mzML","SMRW","Mar","30","2022",1,"1_L",19,"No_leak"
"4","A4.mzML","SMRW","Dec","23","2022",1,"1_L",20,"No_leak"
"5","A5.mzML","SMRW","Dec","23","2022",1,"1_L",21,"No_leak"
"6","A6.mzML","SMRW","Dec","23","2022",1,"600_mL",22,"No_leak"
"7","A7.mzML","SMRW","Apr","29","2023",1,"1_L",23,"Leaked"
"8","A8.mzML","SMRW","Apr","29","2023",1,"1_L",24,"Leaked"
"9","A9.mzML","SMRW","Apr","29","2023",1,"1_L",25,"No_leak"
"10","A10.mzML","NS","Mar","30","2022",1,"1_L",9,"No_leak"
"11","A11.mzML","NS","Mar","30","2022",1,"1_L",10,"Leaked"
"12","A12.mzML","NS","Mar","30","2022",1,"1_L",11,"No_leak"
"13","A13.mzML","NS","Apr","29","2023",1,"1_L",12,"No_leak"
"14","A14.mzML","NS","Apr","29","2023",1,"1_L",13,"No_leak"
"15","A15.mzML","NS","Apr","29","2023",1,"1_L",14,"No_leak"
"16","A16.mzML","Ext_Blank","Aug","16","2023",1,"1_L",6,"No_leak"
"17","A17.mzML","Ext_Blank","Aug","16","2023",1,"1_L",7,"No_leak"
"18","A18.mzML","Ext_Blank","Aug","16","2023",1,"1_L",8,"No_leak"
"19","pooled_QC_1.mzML","Pooled_QC","No_month","No_day","No_year",1,"No_volume",26,"No_leak"
