"","filename","ATTRIBUTE_Sample_Type","ATTRIBUTE_Sample_Month_Collected","ATTRIBUTE_Day_Collected","ATTRIBUTE_Year_Collected","ATTRIBUTE_Technical_Replicate","ATTRIBUTE_Volume_Extracted","ATTRIBUTE_Notes"
"1","A1.mzML","SMRW","SMRW_Mar_2022","30","2022",1,"1_L","No_leak"
"2","A2.mzML","SMRW","SMRW_Mar_2022","30","2022",1,"1_L","No_leak"
"3","A3.mzML","SMRW","SMRW_Mar_2022","30","2022",1,"1_L","No_leak"
"4","A4.mzML","SMRW","SMRW_Dec_2022","23","2022",1,"1_L","No_leak"
"5","A5.mzML","SMRW","SMRW_Dec_2022","23","2022",1,"1_L","No_leak"
"6","A6.mzML","SMRW","SMRW_Dec_2022","23","2022",1,"600_mL","No_leak"
"7","A7.mzML","SMRW","SMRW_Apr_2023","29","2023",1,"1_L","Leaked"
"8","A8.mzML","SMRW","SMRW_Apr_2023","29","2023",1,"1_L","Leaked"
"9","A9.mzML","SMRW","SMRW_Apr_2023","29","2023",1,"1_L","No_leak"
"10","A10.mzML","NS","NS_Mar_2022","30","2022",1,"1_L","No_leak"
"11","A11.mzML","NS","NS_Mar_2022","30","2022",1,"1_L","Leaked"
"12","A12.mzML","NS","NS_Mar_2022","30","2022",1,"1_L","No_leak"
"13","A13.mzML","NS","NS_Apr_2023","29","2023",1,"1_L","No_leak"
"14","A14.mzML","NS","NS_Apr_2023","29","2023",1,"1_L","No_leak"
"15","A15.mzML","NS","NS_Apr_2023","29","2023",1,"1_L","No_leak"
"16","A16.mzML","Ext_Blank","Ext_Blank","16","2023",1,"1_L","No_leak"
"17","A17.mzML","Ext_Blank","Ext_Blank","16","2023",1,"1_L","No_leak"
"18","A18.mzML","Ext_Blank","Ext_Blank","16","2023",1,"1_L","No_leak"
"19","pooled_QC_1.mzML","Pooled_QC","Pooled_QC","No_day","No_year",1,"No_volume","No_leak"
