,filename,ATTRIBUTE_Sample_Type,ATTRIBUTE_Group,ATTRIBUTE_Sample_Month_Collected,ATTRIBUTE_Day_Collected,ATTRIBUTE_Year_Collected,ATTRIBUTE_Technical_Replicate,ATTRIBUTE_Volume_Extracted,ATTRIBUTE_Notes
1,A1.mzML,High_Snowmaking,A1,SMRW_Mar_2022,30,2022,1,1_L,No_leak
2,A2.mzML,High_Snowmaking,A2,SMRW_Mar_2022,30,2022,1,1_L,No_leak
3,A3.mzML,High_Snowmaking,A3,SMRW_Mar_2022,30,2022,1,1_L,No_leak
4,A4.mzML,High_Snowmaking,A4,SMRW_Dec_2022,23,2022,1,1_L,No_leak
5,A5.mzML,High_Snowmaking,A5,SMRW_Dec_2022,23,2022,1,1_L,No_leak
6,A6.mzML,High_Snowmaking,A6,SMRW_Dec_2022,23,2022,1,600_mL,No_leak
7,A7.mzML,Low_Snowmaking,A7,SMRW_Apr_2023,29,2023,1,1_L,Leaked
8,A8.mzML,Low_Snowmaking,A8,SMRW_Apr_2023,29,2023,1,1_L,Leaked
9,A9.mzML,Low_Snowmaking,A9,SMRW_Apr_2023,29,2023,1,1_L,No_leak
10,A10.mzML,Natural_Snowfall,A10,NS_Mar_2022,30,2022,1,1_L,No_leak
11,A11.mzML,Natural_Snowfall,A11,NS_Mar_2022,30,2022,1,1_L,Leaked
12,A12.mzML,Natural_Snowfall,A12,NS_Mar_2022,30,2022,1,1_L,No_leak
13,A13.mzML,Natural_Snowfall,A13,NS_Apr_2023,29,2023,1,1_L,No_leak
14,A14.mzML,Natural_Snowfall,A14,NS_Apr_2023,29,2023,1,1_L,No_leak
15,A15.mzML,Natural_Snowfall,A15,NS_Apr_2023,29,2023,1,1_L,No_leak
16,A16.mzML,Extraction_Blank,A16,Ext_Blank,16,2023,1,1_L,No_leak
17,A17.mzML,Extraction_Blank,A17,Ext_Blank,16,2023,1,1_L,No_leak
18,A18.mzML,Extraction_Blank,A18,Ext_Blank,16,2023,1,1_L,No_leak
19,pooled_QC_1.mzML,Pooled_QC,pooled_QC,Pooled_QC,No_day,No_year,1,No_volume,No_leak
20,A1_2.mzML,High_Snowmaking,A1,SMRW_Mar_2022,30,2022,2,1_L,No_leak
21,A2_2.mzML,High_Snowmaking,A2,SMRW_Mar_2022,30,2022,2,1_L,No_leak
22,A3_2.mzML,High_Snowmaking,A3,SMRW_Mar_2022,30,2022,2,1_L,No_leak
23,A4_2.mzML,High_Snowmaking,A4,SMRW_Dec_2022,23,2022,2,1_L,No_leak
24,A5_2.mzML,High_Snowmaking,A5,SMRW_Dec_2022,23,2022,2,1_L,No_leak
25,A6_2.mzML,High_Snowmaking,A6,SMRW_Dec_2022,23,2022,2,600_mL,No_leak
26,A7_2.mzML,Low_Snowmaking,A7,SMRW_Apr_2023,29,2023,2,1_L,Leaked
27,A8_2.mzML,Low_Snowmaking,A8,SMRW_Apr_2023,29,2023,2,1_L,Leaked
28,A9_2.mzML,Low_Snowmaking,A9,SMRW_Apr_2023,29,2023,2,1_L,No_leak
29,A10_2.mzML,Natural_Snowfall,A10,NS_Mar_2022,30,2022,2,1_L,No_leak
30,A11_2.mzML,Natural_Snowfall,A11,NS_Mar_2022,30,2022,2,1_L,Leaked
31,A12_2.mzML,Natural_Snowfall,A12,NS_Mar_2022,30,2022,2,1_L,No_leak
32,A13_2.mzML,Natural_Snowfall,A13,NS_Apr_2023,29,2023,2,1_L,No_leak
33,A14_2.mzML,Natural_Snowfall,A14,NS_Apr_2023,29,2023,2,1_L,No_leak
34,A15_2.mzML,Natural_Snowfall,A15,NS_Apr_2023,29,2023,2,1_L,No_leak
35,A16_2.mzML,Extraction_Blank,A16,Ext_Blank,16,2023,2,1_L,No_leak
36,A17_2.mzML,Extraction_Blank,A17,Ext_Blank,16,2023,2,1_L,No_leak
37,A18_2.mzML,Extraction_Blank,A18,Ext_Blank,16,2023,2,1_L,No_leak
38,pooled_QC_2.mzML,Pooled_QC,pooled_QC,Pooled_QC,No_day,No_year,2,No_volume,No_leak
